case_key,reps,log10_reps,ensemble_size,pct_error_unconditional,std_pct_error_unconditional,pct_error_conditional,std_pct_error_conditional,elapsed_seconds
lattice2D,1000,3.00000000,500,3.94282500,2.91647434,2.81713664,2.09195909,0.42991460
lattice2D,1122,3.05000000,500,3.69839572,2.64876098,2.72386362,1.98242695,0.93027160
lattice2D,1259,3.10000000,500,3.60839952,2.66613728,2.56338769,1.94070122,1.53044410
lattice2D,1413,3.15000000,500,3.40015924,2.37094848,2.30204093,1.78548808,2.17054160
lattice2D,1585,3.20000000,500,3.24364353,2.31048399,2.25992012,1.72892782,2.83206150
lattice2D,1778,3.25000000,500,2.95667885,2.12250694,2.06115170,1.56937103,3.58104390
lattice2D,1995,3.30000000,500,2.80372180,2.04828379,1.96464083,1.47752893,4.41683680
lattice2D,2239,3.35000000,500,2.72789192,2.02859216,1.91362454,1.46016862,5.35574190
lattice2D,2512,3.40000000,500,2.64491441,1.93717446,1.85099936,1.38055492,6.41474720
lattice2D,2818,3.45000000,500,2.54217530,1.79304742,1.71048601,1.30063818,7.59514730
lattice2D,3162,3.50000000,500,2.37172676,1.67983909,1.66864833,1.20513698,8.92453780
lattice2D,3548,3.55000000,500,2.17235062,1.61573174,1.57944248,1.16869739,10.39538870
lattice2D,3981,3.60000000,500,2.03234740,1.54936848,1.51867438,1.12275727,12.06170290
lattice2D,4467,3.65000000,500,1.91905641,1.42578820,1.42515362,1.03196477,13.90844010
lattice2D,5012,3.70000000,500,1.85062350,1.36575601,1.35511321,0.96047878,15.98606480
lattice2D,5623,3.75000000,500,1.71766406,1.28655450,1.28384770,0.93759601,18.32075220
lattice2D,6310,3.80000000,500,1.64166799,1.20034728,1.22231772,0.91432653,20.92992240
lattice2D,7079,3.85000000,500,1.57055022,1.15917444,1.17743407,0.87135225,23.88967670
lattice2D,7943,3.90000000,500,1.46387385,1.08737420,1.10090674,0.80826238,27.18874750
lattice2D,8913,3.95000000,500,1.41237799,1.03621759,1.06171408,0.74765575,30.88108000
lattice2D,10000,4.00000000,500,1.28557500,0.94594155,0.98905616,0.70064253,35.00833440
lattice2D,11220,4.05000000,500,1.24817513,0.90659882,0.96638546,0.67550531,39.64881840
lattice2D,12589,4.10000000,500,1.18995154,0.86063653,0.92398436,0.61245434,45.18506210
lattice2D,14125,4.15000000,500,1.12313274,0.82453128,0.88317388,0.59356763,51.19076050
lattice2D,15849,4.20000000,500,1.05329358,0.77943098,0.83526222,0.57693201,57.97238550
lattice2D,17783,4.25000000,500,1.00225356,0.74814067,0.78151426,0.54903478,65.70195660
lattice2D,19953,4.30000000,500,0.97072621,0.70384457,0.75430615,0.52581059,74.77997160
lattice2D,22387,4.35000000,500,0.91019677,0.66571497,0.71469673,0.50068657,85.31682590
lattice2D,25119,4.40000000,500,0.86956288,0.62411367,0.68509135,0.46793415,97.25914830
lattice2D,28184,4.45000000,500,0.80191421,0.59350832,0.64621396,0.43846185,109.18351450
lattice2D,31623,4.50000000,500,0.74785599,0.55726753,0.61069735,0.42954187,122.45368150
lattice2D,35481,4.55000000,500,0.71046546,0.51456504,0.57553067,0.41570094,137.27319750
lattice2D,39811,4.60000000,500,0.66392643,0.47201057,0.53886450,0.38911758,153.83987510
lattice2D,44668,4.65000000,500,0.61934718,0.44898840,0.50774743,0.36449401,173.50180950
lattice2D,50119,4.70000000,500,0.57937359,0.41466600,0.47533664,0.34084821,194.34163800
lattice2D,56234,4.75000000,500,0.54272549,0.38924199,0.44680478,0.31252773,218.61403760
lattice2D,63096,4.80000000,500,0.50263170,0.36576492,0.41048945,0.29231900,244.86665030
lattice2D,70795,4.85000000,500,0.47124303,0.33432406,0.38213007,0.27271387,274.40365850
lattice2D,79433,4.90000000,500,0.43314712,0.31640507,0.35283361,0.25507725,307.58558560
lattice2D,89125,4.95000000,500,0.39038654,0.29841178,0.31332173,0.23624423,344.62674200
lattice2D,100000,5.00000000,500,0.36571425,0.27400539,0.28212545,0.21103303,386.16963410
lattice2D,112202,5.05000000,500,0.34657626,0.25092419,0.25799392,0.18777959,432.79011050
lattice2D,125893,5.10000000,500,0.32161121,0.23116536,0.23747569,0.16292004,485.78352710
lattice2D,141254,5.15000000,500,0.30012035,0.21098385,0.21124142,0.15358927,544.62942260
lattice2D,158489,5.20000000,500,0.28455666,0.18877327,0.19173299,0.13943841,610.54128260
lattice2D,177828,5.25000000,500,0.27180098,0.16892069,0.17416667,0.13555545,685.67793320
lattice2D,199526,5.30000000,500,0.25399447,0.16191739,0.16613009,0.12677256,770.29400170
lattice2D,223872,5.35000000,500,0.23756131,0.14703766,0.15979901,0.11818326,864.35301730
lattice2D,251189,5.40000000,500,0.20995346,0.14042369,0.15633691,0.10670959,967.49726440
lattice2D,281838,5.45000000,500,0.18469812,0.13671398,0.15152337,0.10261710,1083.69717770
lattice2D,316228,5.50000000,500,0.15819448,0.12627738,0.14164724,0.09693555,1213.64815120
lattice2D,354813,5.55000000,500,0.14205025,0.10858693,0.13061923,0.07860477,1359.17088930
